,buying,maint,doors,persons,lug_boot,safety,Actual_Classification,Learned_Classification
499,2,1,3,2,2,2,unacc,acc
500,2,1,3,2,2,3,unacc,unacc
503,2,1,3,2,3,3,unacc,unacc
507,2,1,3,3,2,1,unacc,unacc
508,2,1,3,3,2,2,unacc,unacc
510,2,1,3,3,3,1,unacc,unacc
513,2,1,4,1,1,1,unacc,unacc
524,2,1,4,2,1,3,unacc,unacc
528,2,1,4,2,3,1,unacc,unacc
530,2,1,4,2,3,3,unacc,unacc
533,2,1,4,3,1,3,unacc,acc
534,2,1,4,3,2,1,unacc,unacc
537,2,1,4,3,3,1,unacc,unacc
542,2,2,1,1,1,3,unacc,unacc
547,2,2,1,1,3,2,unacc,acc
548,2,2,1,1,3,3,unacc,unacc
552,2,2,1,2,2,1,unacc,unacc
553,2,2,1,2,2,2,unacc,acc
555,2,2,1,2,3,1,unacc,acc
557,2,2,1,2,3,3,acc,acc
558,2,2,1,3,1,1,unacc,unacc
559,2,2,1,3,1,2,unacc,unacc
562,2,2,1,3,2,2,unacc,acc
565,2,2,1,3,3,2,acc,acc
567,2,2,2,1,1,1,unacc,unacc
568,2,2,2,1,1,2,unacc,unacc
571,2,2,2,1,2,2,unacc,unacc
574,2,2,2,1,3,2,unacc,unacc
576,2,2,2,2,1,1,unacc,unacc
578,2,2,2,2,1,3,acc,unacc
581,2,2,2,2,2,3,acc,acc
582,2,2,2,2,3,1,unacc,unacc
583,2,2,2,2,3,2,acc,acc
584,2,2,2,2,3,3,acc,unacc
586,2,2,2,3,1,2,unacc,unacc
587,2,2,2,3,1,3,acc,unacc
591,2,2,2,3,3,1,unacc,unacc
593,2,2,2,3,3,3,acc,acc
594,2,2,3,1,1,1,unacc,unacc
598,2,2,3,1,2,2,unacc,unacc
599,2,2,3,1,2,3,unacc,unacc
601,2,2,3,1,3,2,unacc,unacc
605,2,2,3,2,1,3,acc,unacc
608,2,2,3,2,2,3,acc,acc
613,2,2,3,3,1,2,unacc,unacc
614,2,2,3,3,1,3,acc,unacc
616,2,2,3,3,2,2,acc,unacc
618,2,2,3,3,3,1,unacc,unacc
619,2,2,3,3,3,2,acc,acc
623,2,2,4,1,1,3,unacc,unacc
632,2,2,4,2,1,3,acc,acc
636,2,2,4,2,3,1,unacc,unacc
646,2,2,4,3,3,2,acc,acc
647,2,2,4,3,3,3,acc,unacc
651,2,3,1,1,2,1,unacc,unacc
652,2,3,1,1,2,2,unacc,unacc
653,2,3,1,1,2,3,unacc,unacc
658,2,3,1,2,1,2,unacc,acc
661,2,3,1,2,2,2,unacc,acc
662,2,3,1,2,2,3,acc,acc
663,2,3,1,2,3,1,unacc,unacc
666,2,3,1,3,1,1,unacc,unacc
667,2,3,1,3,1,2,unacc,unacc
668,2,3,1,3,1,3,unacc,acc
671,2,3,1,3,2,3,acc,acc
672,2,3,1,3,3,1,unacc,unacc
685,2,3,2,2,1,2,unacc,acc
686,2,3,2,2,1,3,acc,acc
688,2,3,2,2,2,2,unacc,acc
691,2,3,2,2,3,2,acc,acc
696,2,3,2,3,2,1,unacc,acc
698,2,3,2,3,2,3,acc,acc
701,2,3,2,3,3,3,acc,acc
705,2,3,3,1,2,1,unacc,unacc
706,2,3,3,1,2,2,unacc,unacc
710,2,3,3,1,3,3,unacc,unacc
713,2,3,3,2,1,3,acc,acc
725,2,3,3,3,2,3,acc,acc
729,2,3,4,1,1,1,unacc,unacc
730,2,3,4,1,1,2,unacc,unacc
731,2,3,4,1,1,3,unacc,unacc
733,2,3,4,1,2,2,unacc,unacc
735,2,3,4,1,3,1,unacc,unacc
745,2,3,4,2,3,2,acc,unacc
746,2,3,4,2,3,3,acc,acc
749,2,3,4,3,1,3,acc,unacc
758,2,4,1,1,1,3,unacc,acc
766,2,4,1,2,1,2,unacc,acc
769,2,4,1,2,2,2,unacc,unacc
781,2,4,1,3,3,2,acc,acc
783,2,4,2,1,1,1,unacc,unacc
786,2,4,2,1,2,1,unacc,unacc
788,2,4,2,1,2,3,unacc,unacc
790,2,4,2,1,3,2,unacc,unacc
795,2,4,2,2,2,1,unacc,unacc
797,2,4,2,2,2,3,acc,acc
799,2,4,2,2,3,2,acc,good
801,2,4,2,3,1,1,unacc,unacc
807,2,4,2,3,3,1,unacc,unacc
808,2,4,2,3,3,2,acc,acc
810,2,4,3,1,1,1,unacc,unacc
811,2,4,3,1,1,2,unacc,unacc
816,2,4,3,1,3,1,unacc,unacc
817,2,4,3,1,3,2,unacc,unacc
819,2,4,3,2,1,1,unacc,unacc
825,2,4,3,2,3,1,unacc,unacc
829,2,4,3,3,1,2,unacc,acc
841,2,4,4,1,2,2,unacc,unacc
843,2,4,4,1,3,1,unacc,unacc
846,2,4,4,2,1,1,unacc,unacc
848,2,4,4,2,1,3,acc,acc
850,2,4,4,2,2,2,acc,good
857,2,4,4,3,1,3,acc,good
858,2,4,4,3,2,1,unacc,unacc
866,3,1,1,1,1,3,unacc,unacc
867,3,1,1,1,2,1,unacc,unacc
879,3,1,1,2,3,1,unacc,unacc
887,3,1,1,3,2,3,acc,unacc
888,3,1,1,3,3,1,unacc,unacc
892,3,1,2,1,1,2,unacc,unacc
896,3,1,2,1,2,3,unacc,unacc
897,3,1,2,1,3,1,unacc,unacc
898,3,1,2,1,3,2,unacc,unacc
902,3,1,2,2,1,3,acc,unacc
903,3,1,2,2,2,1,unacc,unacc
907,3,1,2,2,3,2,acc,acc
908,3,1,2,2,3,3,acc,acc
909,3,1,2,3,1,1,unacc,unacc
910,3,1,2,3,1,2,unacc,acc
916,3,1,2,3,3,2,acc,unacc
918,3,1,3,1,1,1,unacc,unacc
919,3,1,3,1,1,2,unacc,unacc
920,3,1,3,1,1,3,unacc,unacc
922,3,1,3,1,2,2,unacc,acc
925,3,1,3,1,3,2,unacc,unacc
934,3,1,3,2,3,2,acc,acc
935,3,1,3,2,3,3,acc,acc
936,3,1,3,3,1,1,unacc,unacc
937,3,1,3,3,1,2,unacc,unacc
940,3,1,3,3,2,2,acc,acc
943,3,1,3,3,3,2,acc,acc
945,3,1,4,1,1,1,unacc,unacc
946,3,1,4,1,1,2,unacc,unacc
952,3,1,4,1,3,2,unacc,acc
953,3,1,4,1,3,3,unacc,unacc
956,3,1,4,2,1,3,acc,unacc
962,3,1,4,2,3,3,acc,acc
968,3,1,4,3,2,3,acc,acc
970,3,1,4,3,3,2,acc,acc
971,3,1,4,3,3,3,acc,unacc
973,3,2,1,1,1,2,unacc,unacc
974,3,2,1,1,1,3,unacc,acc
975,3,2,1,1,2,1,unacc,unacc
979,3,2,1,1,3,2,unacc,unacc
984,3,2,1,2,2,1,unacc,unacc
985,3,2,1,2,2,2,unacc,unacc
986,3,2,1,2,2,3,acc,acc
990,3,2,1,3,1,1,unacc,unacc
993,3,2,1,3,2,1,unacc,unacc
996,3,2,1,3,3,1,unacc,unacc
998,3,2,1,3,3,3,acc,acc
1009,3,2,2,2,1,2,unacc,unacc
1012,3,2,2,2,2,2,unacc,unacc
1015,3,2,2,2,3,2,acc,acc
1016,3,2,2,2,3,3,acc,acc
1019,3,2,2,3,1,3,acc,acc
1022,3,2,2,3,2,3,acc,acc
1024,3,2,2,3,3,2,acc,acc
1026,3,2,3,1,1,1,unacc,unacc
1030,3,2,3,1,2,2,unacc,unacc
1031,3,2,3,1,2,3,unacc,unacc
1032,3,2,3,1,3,1,unacc,unacc
1037,3,2,3,2,1,3,acc,unacc
1038,3,2,3,2,2,1,unacc,unacc
1040,3,2,3,2,2,3,acc,acc
1043,3,2,3,2,3,3,acc,vgood
1044,3,2,3,3,1,1,unacc,unacc
1046,3,2,3,3,1,3,acc,unacc
1049,3,2,3,3,2,3,acc,acc
1056,3,2,4,1,2,1,unacc,unacc
1057,3,2,4,1,2,2,unacc,unacc
1058,3,2,4,1,2,3,unacc,unacc
1067,3,2,4,2,2,3,acc,acc
1070,3,2,4,2,3,3,acc,acc
1074,3,2,4,3,2,1,unacc,unacc
1084,3,3,1,1,2,2,unacc,unacc
1085,3,3,1,1,2,3,unacc,unacc
1090,3,3,1,2,1,2,acc,unacc
1092,3,3,1,2,2,1,unacc,unacc
1097,3,3,1,2,3,3,vgood,acc
1098,3,3,1,3,1,1,unacc,unacc
1100,3,3,1,3,1,3,unacc,acc
1110,3,3,2,1,2,1,unacc,unacc
1111,3,3,2,1,2,2,unacc,unacc
1112,3,3,2,1,2,3,unacc,unacc
1113,3,3,2,1,3,1,unacc,unacc
1118,3,3,2,2,1,3,acc,acc
1124,3,3,2,2,3,3,vgood,acc
1130,3,3,2,3,2,3,vgood,acc
1131,3,3,2,3,3,1,unacc,unacc
1137,3,3,3,1,2,1,unacc,unacc
1146,3,3,3,2,2,1,unacc,unacc
1147,3,3,3,2,2,2,acc,unacc
1148,3,3,3,2,2,3,vgood,vgood
1152,3,3,3,3,1,1,unacc,unacc
1154,3,3,3,3,1,3,acc,acc
1162,3,3,4,1,1,2,unacc,unacc
1164,3,3,4,1,2,1,unacc,unacc
1167,3,3,4,1,3,1,unacc,unacc
1170,3,3,4,2,1,1,unacc,unacc
1171,3,3,4,2,1,2,acc,acc
1172,3,3,4,2,1,3,acc,acc
1173,3,3,4,2,2,1,unacc,unacc
1175,3,3,4,2,2,3,vgood,unacc
1176,3,3,4,2,3,1,unacc,unacc
1177,3,3,4,2,3,2,acc,acc
1178,3,3,4,2,3,3,vgood,vgood
1179,3,3,4,3,1,1,unacc,unacc
1182,3,3,4,3,2,1,unacc,unacc
1189,3,4,1,1,1,2,unacc,unacc
1192,3,4,1,1,2,2,unacc,unacc
1195,3,4,1,1,3,2,unacc,unacc
1198,3,4,1,2,1,2,acc,acc
1199,3,4,1,2,1,3,good,acc
1204,3,4,1,2,3,2,good,good
1207,3,4,1,3,1,2,unacc,acc
1208,3,4,1,3,1,3,unacc,unacc
1211,3,4,1,3,2,3,good,acc
1212,3,4,1,3,3,1,unacc,unacc
1213,3,4,1,3,3,2,good,acc
1216,3,4,2,1,1,2,unacc,unacc
1220,3,4,2,1,2,3,unacc,unacc
1221,3,4,2,1,3,1,unacc,unacc
1223,3,4,2,1,3,3,unacc,unacc
1224,3,4,2,2,1,1,unacc,unacc
1225,3,4,2,2,1,2,acc,acc
1226,3,4,2,2,1,3,good,unacc
1228,3,4,2,2,2,2,acc,good
1232,3,4,2,2,3,3,vgood,good
1233,3,4,2,3,1,1,unacc,unacc
1234,3,4,2,3,1,2,acc,good
1239,3,4,2,3,3,1,unacc,unacc
1240,3,4,2,3,3,2,good,good
1242,3,4,3,1,1,1,unacc,unacc
1245,3,4,3,1,2,1,unacc,unacc
1246,3,4,3,1,2,2,unacc,unacc
1248,3,4,3,1,3,1,unacc,unacc
1249,3,4,3,1,3,2,unacc,unacc
1253,3,4,3,2,1,3,good,acc
1256,3,4,3,2,2,3,vgood,acc
1258,3,4,3,2,3,2,good,good
1267,3,4,3,3,3,2,good,good
1268,3,4,3,3,3,3,vgood,acc
1270,3,4,4,1,1,2,unacc,unacc
1271,3,4,4,1,1,3,unacc,unacc
1285,3,4,4,2,3,2,good,good
1287,3,4,4,3,1,1,unacc,unacc
1288,3,4,4,3,1,2,acc,good
1290,3,4,4,3,2,1,unacc,unacc
1291,3,4,4,3,2,2,good,good
1292,3,4,4,3,2,3,vgood,good
1294,3,4,4,3,3,2,good,acc
1296,4,1,1,1,1,1,unacc,unacc
1300,4,1,1,1,2,2,unacc,unacc
1307,4,1,1,2,1,3,acc,unacc
1308,4,1,1,2,2,1,unacc,unacc
1310,4,1,1,2,2,3,acc,acc
1311,4,1,1,2,3,1,unacc,unacc
1312,4,1,1,2,3,2,acc,acc
1317,4,1,1,3,2,1,unacc,unacc
1318,4,1,1,3,2,2,unacc,unacc
1319,4,1,1,3,2,3,acc,acc
1321,4,1,1,3,3,2,acc,unacc
1322,4,1,1,3,3,3,acc,vgood
1323,4,1,2,1,1,1,unacc,unacc
1324,4,1,2,1,1,2,unacc,unacc
1326,4,1,2,1,2,1,unacc,unacc
1331,4,1,2,1,3,3,unacc,unacc
1333,4,1,2,2,1,2,unacc,unacc
1343,4,1,2,3,1,3,acc,unacc
1344,4,1,2,3,2,1,unacc,unacc
1345,4,1,2,3,2,2,acc,acc
1349,4,1,2,3,3,3,acc,acc
1354,4,1,3,1,2,2,unacc,unacc
1355,4,1,3,1,2,3,unacc,unacc
1356,4,1,3,1,3,1,unacc,unacc
1358,4,1,3,1,3,3,unacc,unacc
1366,4,1,3,2,3,2,acc,acc
1371,4,1,3,3,2,1,unacc,acc
1379,4,1,4,1,1,3,unacc,unacc
1381,4,1,4,1,2,2,unacc,acc
1382,4,1,4,1,2,3,unacc,acc
1384,4,1,4,1,3,2,unacc,unacc
1389,4,1,4,2,2,1,unacc,acc
1393,4,1,4,2,3,2,acc,acc
1394,4,1,4,2,3,3,acc,acc
1396,4,1,4,3,1,2,unacc,unacc
1400,4,1,4,3,2,3,acc,acc
1401,4,1,4,3,3,1,unacc,unacc
1402,4,1,4,3,3,2,acc,acc
1405,4,2,1,1,1,2,unacc,unacc
1406,4,2,1,1,1,3,unacc,unacc
1413,4,2,1,2,1,1,unacc,unacc
1414,4,2,1,2,1,2,acc,unacc
1420,4,2,1,2,3,2,acc,unacc
1422,4,2,1,3,1,1,unacc,unacc
1427,4,2,1,3,2,3,acc,unacc
1428,4,2,1,3,3,1,unacc,unacc
1436,4,2,2,1,2,3,unacc,unacc
1441,4,2,2,2,1,2,acc,acc
1442,4,2,2,2,1,3,acc,good
1445,4,2,2,2,2,3,acc,good
1447,4,2,2,2,3,2,acc,acc
1448,4,2,2,2,3,3,vgood,vgood
1454,4,2,2,3,2,3,vgood,acc
1455,4,2,2,3,3,1,unacc,unacc
1456,4,2,2,3,3,2,acc,acc
1461,4,2,3,1,2,1,unacc,unacc
1465,4,2,3,1,3,2,unacc,acc
1467,4,2,3,2,1,1,unacc,unacc
1470,4,2,3,2,2,1,unacc,unacc
1471,4,2,3,2,2,2,acc,acc
1477,4,2,3,3,1,2,acc,unacc
1482,4,2,3,3,3,1,unacc,unacc
1483,4,2,3,3,3,2,acc,vgood
1489,4,2,4,1,2,2,unacc,unacc
1490,4,2,4,1,2,3,unacc,unacc
1491,4,2,4,1,3,1,unacc,unacc
1495,4,2,4,2,1,2,acc,unacc
1496,4,2,4,2,1,3,acc,acc
1503,4,2,4,3,1,1,unacc,unacc
1505,4,2,4,3,1,3,acc,acc
1510,4,2,4,3,3,2,acc,acc
1512,4,3,1,1,1,1,unacc,unacc
1513,4,3,1,1,1,2,unacc,unacc
1525,4,3,1,2,2,2,acc,acc
1527,4,3,1,2,3,1,unacc,unacc
1528,4,3,1,2,3,2,good,unacc
1534,4,3,1,3,2,2,acc,unacc
1535,4,3,1,3,2,3,good,unacc
1538,4,3,1,3,3,3,vgood,vgood
1542,4,3,2,1,2,1,unacc,unacc
1549,4,3,2,2,1,2,acc,unacc
1555,4,3,2,2,3,2,good,acc
1556,4,3,2,2,3,3,vgood,good
1558,4,3,2,3,1,2,acc,acc
1560,4,3,2,3,2,1,unacc,unacc
1562,4,3,2,3,2,3,vgood,good
1566,4,3,3,1,1,1,unacc,unacc
1573,4,3,3,1,3,2,unacc,unacc
1575,4,3,3,2,1,1,unacc,unacc
1576,4,3,3,2,1,2,acc,good
1584,4,3,3,3,1,1,unacc,unacc
1589,4,3,3,3,2,3,vgood,good
1591,4,3,3,3,3,2,good,unacc
1592,4,3,3,3,3,3,vgood,vgood
1593,4,3,4,1,1,1,unacc,unacc
1594,4,3,4,1,1,2,unacc,unacc
1598,4,3,4,1,2,3,unacc,unacc
1600,4,3,4,1,3,2,unacc,unacc
1602,4,3,4,2,1,1,unacc,unacc
1603,4,3,4,2,1,2,acc,acc
1605,4,3,4,2,2,1,unacc,unacc
1607,4,3,4,2,2,3,vgood,vgood
1608,4,3,4,2,3,1,unacc,unacc
1609,4,3,4,2,3,2,good,acc
1612,4,3,4,3,1,2,acc,unacc
1618,4,3,4,3,3,2,good,acc
1619,4,3,4,3,3,3,vgood,vgood
1620,4,4,1,1,1,1,unacc,unacc
1621,4,4,1,1,1,2,unacc,unacc
1622,4,4,1,1,1,3,unacc,unacc
1623,4,4,1,1,2,1,unacc,unacc
1624,4,4,1,1,2,2,unacc,unacc
1627,4,4,1,1,3,2,unacc,unacc
1629,4,4,1,2,1,1,unacc,unacc
1631,4,4,1,2,1,3,good,unacc
1633,4,4,1,2,2,2,acc,acc
1634,4,4,1,2,2,3,good,unacc
1636,4,4,1,2,3,2,good,unacc
1637,4,4,1,2,3,3,vgood,vgood
1638,4,4,1,3,1,1,unacc,unacc
1643,4,4,1,3,2,3,good,vgood
1644,4,4,1,3,3,1,unacc,unacc
1645,4,4,1,3,3,2,good,vgood
1649,4,4,2,1,1,3,unacc,unacc
1651,4,4,2,1,2,2,unacc,unacc
1652,4,4,2,1,2,3,unacc,unacc
1656,4,4,2,2,1,1,unacc,unacc
1659,4,4,2,2,2,1,unacc,unacc
1660,4,4,2,2,2,2,acc,good
1662,4,4,2,2,3,1,unacc,unacc
1664,4,4,2,2,3,3,vgood,vgood
1665,4,4,2,3,1,1,unacc,unacc
1666,4,4,2,3,1,2,acc,acc
1667,4,4,2,3,1,3,good,vgood
1672,4,4,2,3,3,2,good,unacc
1673,4,4,2,3,3,3,vgood,vgood
1674,4,4,3,1,1,1,unacc,unacc
1678,4,4,3,1,2,2,unacc,unacc
1680,4,4,3,1,3,1,unacc,unacc
1681,4,4,3,1,3,2,unacc,unacc
1682,4,4,3,1,3,3,unacc,vgood
1686,4,4,3,2,2,1,unacc,unacc
1687,4,4,3,2,2,2,good,good
1688,4,4,3,2,2,3,vgood,vgood
1690,4,4,3,2,3,2,good,unacc
1695,4,4,3,3,2,1,unacc,unacc
1696,4,4,3,3,2,2,good,good
1697,4,4,3,3,2,3,vgood,vgood
1699,4,4,3,3,3,2,good,vgood
1703,4,4,4,1,1,3,unacc,unacc
1706,4,4,4,1,2,3,unacc,unacc
1708,4,4,4,1,3,2,unacc,unacc
1709,4,4,4,1,3,3,unacc,vgood
1717,4,4,4,2,3,2,good,vgood
1719,4,4,4,3,1,1,unacc,unacc
1720,4,4,4,3,1,2,acc,acc
1721,4,4,4,3,1,3,good,good
1725,4,4,4,3,3,1,unacc,unacc
1726,4,4,4,3,3,2,good,vgood
